timestamp,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,label
6.861962,0.03629125,0.02960308,0.00655497,0.04969528,0.07618086,1.287371E-05,8.946232E-08,4.873255E-07,0.215958,0.1647161,0.07903711,0.08668537,0.02928711,0.1209535,0.1241957,0.0358664,0.1181765,0.1159163,0.5580943,0.4348504,0.002643294,0.001774138,3.341951E-05,0.001880839,0.01956105,7.887549E-05,0.008671089,0.0105037,0.001055872,0.0001658069,0.000262481,0.0005002164,0.002994117,0.0002097068,0.0003292776,0.093992,0.01906416,0.01916506,0.0004321937,0.04067611,0.04621584,0.01088249,0.001878266,0.0001396037,7.543983E-05,0.0006798831,0.001846204,5.835609E-06,4.462242E-06,6.563429E-07,3.944138E-07,Neutral
6.8847345,0.03615023,0.02965893,0.006687904,0.04975572,0.07534248,1.278702E-05,8.975081E-08,4.819066E-07,0.2159545,0.1640093,0.07873343,0.08618663,0.02850184,0.1237674,0.1266795,0.03524143,0.1186169,0.1162451,0.5558874,0.4347479,0.002628255,0.00178611,3.310993E-05,0.001875291,0.01936293,7.623932E-05,0.008717349,0.01026299,0.001083269,0.000177526,0.0002757369,0.0004765561,0.003014975,0.0002037609,0.0003136503,0.09606732,0.01994024,0.01786269,0.0004207526,0.04072385,0.04504581,0.01136797,0.001895445,0.0001489167,8.075783E-05,0.000740584,0.001873535,5.804643E-06,4.513222E-06,6.400392E-07,3.942329E-07,Neutral
6.9056025,0.03517645,0.02924184,0.006847029,0.05018532,0.07533822,1.259227E-05,8.967792E-08,4.779932E-07,0.2161966,0.1643186,0.07913414,0.08625271,0.02895227,0.1237332,0.1261958,0.03495107,0.1186192,0.1164722,0.5543135,0.4362314,0.002619497,0.001792883,3.284206E-05,0.001877013,0.01933172,7.638604E-05,0.008745982,0.01024207,0.001081522,0.0001763539,0.0002738503,0.0004799053,0.003067391,0.0002021894,0.0003097255,0.09440197,0.01973953,0.01824141,0.0004146138,0.04070105,0.04511627,0.01138228,0.001899252,0.0001459961,7.936371E-05,0.0007375186,0.001851338,5.778844E-06,4.505293E-06,6.388781E-07,3.864043E-07,Neutral
6.9379448,0.03396818,0.02874746,0.007025909,0.05066972,0.07487591,1.241037E-05,8.977376E-08,4.707697E-07,0.2166253,0.164555,0.0796353,0.08614208,0.0293835,0.1241718,0.1259196,0.03442367,0.1187541,0.1168378,0.5521618,0.4386511,0.002594547,0.001798222,3.296211E-05,0.001829703,0.01902439,7.609262E-05,0.008655111,0.01014669,0.001089327,0.0001838824,0.0002832245,0.000473047,0.00308724,0.0002014952,0.0003053967,0.09426174,0.02006955,0.01748818,0.0004017454,0.03981217,0.04425617,0.011368,0.001903539,0.0001523381,8.336383E-05,0.0007779366,0.001881761,5.870883E-06,4.628731E-06,6.355885E-07,3.806343E-07,Neutral
6.9587072,0.0362582,0.02903847,0.006395116,0.0490708,0.07451124,1.252805E-05,8.928061E-08,4.596039E-07,0.2152835,0.1646434,0.07841723,0.08553322,0.03037027,0.1201139,0.1222952,0.03582077,0.1201346,0.1177126,0.5569412,0.4380466,0.002601971,0.001793833,3.230794E-05,0.001979847,0.01945523,7.27545E-05,0.008936058,0.009625184,0.001115323,0.0001875591,0.0002803186,0.0004688804,0.00309602,0.0001992088,0.0002962806,0.09328741,0.01990019,0.01795886,0.0004067169,0.04056462,0.04482365,0.01180174,0.001924979,0.0001473921,7.964316E-05,0.0008046048,0.001708607,5.719886E-06,4.659241E-06,6.16221E-07,3.742724E-07,Neutral
6.9794167,0.034886,0.02865648,0.00646176,0.05053329,0.07504948,1.227784E-05,8.905594E-08,4.506791E-07,0.2129823,0.1648756,0.07933953,0.08635064,0.03236126,0.1141373,0.1166443,0.03735752,0.1190669,0.1170574,0.5552213,0.4391134,0.002631495,0.001800051,3.116887E-05,0.002052047,0.01939368,7.209597E-05,0.008889603,0.009542678,0.001161046,0.0001718333,0.0002538961,0.00047182,0.002843499,0.0001946329,0.000287552,0.09339931,0.019535,0.01915552,0.0004692677,0.04106538,0.04571186,0.01214862,0.001937925,0.0001400954,7.501766E-05,0.0007678575,0.001547898,5.556566E-06,4.609419E-06,6.157381E-07,3.623651E-07,Neutral
6.9988378,0.0349431,0.02876765,0.006163904,0.05128581,0.07509152,1.229801E-05,8.890795E-08,4.440552E-07,0.211549,0.1651282,0.07860065,0.08595666,0.0332705,0.1109362,0.1138158,0.03832959,0.119963,0.1177879,0.5572681,0.4399036,0.00264951,0.00179794,3.045683E-05,0.002139206,0.01968239,7.119211E-05,0.009092239,0.009380362,0.00123572,0.0001630525,0.0002374828,0.0004665294,0.002580971,0.000192864,0.0002806077,0.09544162,0.02001459,0.01934925,0.0005351188,0.04194064,0.04697087,0.01249968,0.001912392,0.0001383902,7.398918E-05,0.0007527437,0.001449238,5.328299E-06,4.500856E-06,6.054848E-07,3.575477E-07,Neutral
7.02198,0.03510511,0.02892535,0.006046304,0.05175893,0.07477245,1.232788E-05,8.927618E-08,4.35938E-07,0.2103063,0.1653726,0.07809354,0.08567224,0.03375618,0.108946,0.1120161,0.03904613,0.1204136,0.1181301,0.5570744,0.4406477,0.0026548,0.001794158,2.995721E-05,0.002227887,0.0198649,6.929937E-05,0.009272818,0.009105578,0.00129312,0.0001615905,0.0002304951,0.0004616001,0.002431323,0.0001912872,0.0002739817,0.0963609,0.02029738,0.01941572,0.000579936,0.04231163,0.04688626,0.01285521,0.00192372,0.0001392157,7.411036E-05,0.0007678556,0.001366972,5.234878E-06,4.512387E-06,5.955765E-07,3.546566E-07,Neutral
7.0405295,0.03790803,0.03061883,0.004579293,0.04946324,0.0737834,1.240191E-05,8.852975E-08,4.190125E-07,0.2036358,0.15828,0.07249495,0.0797155,0.0320235,0.1129474,0.1160415,0.03771681,0.1284761,0.1258203,0.5614891,0.4439173,0.002747955,0.001857131,3.000662E-05,0.002170109,0.01923398,6.828331E-05,0.008810479,0.008607442,0.001375081,0.00016872,0.000236148,0.0004627002,0.002464685,0.0001920467,0.0002616357,0.09527678,0.02193898,0.01788612,0.0005562691,0.04077194,0.04486655,0.01314613,0.002028365,0.0001506023,8.252014E-05,0.0008170926,0.001360955,5.483514E-06,4.908362E-06,5.761756E-07,3.483855E-07,Neutral
7.0643498,0.03683573,0.03161366,0.004507903,0.05035665,0.07072074,1.237846E-05,8.742978E-08,4.047525E-07,0.2006395,0.1551333,0.06926903,0.07636691,0.03190023,0.1128128,0.1159296,0.03754506,0.1339398,0.1304286,0.5661036,0.4407083,0.00281179,0.001892835,2.976224E-05,0.002108301,0.01916569,6.794288E-05,0.008618305,0.008311729,0.001550056,0.0001657401,0.0002281029,0.0004470539,0.002309386,0.0001932832,0.0002527456,0.09639841,0.0242518,0.01624179,0.0005892034,0.04153217,0.04658034,0.01334471,0.001975676,0.0001577168,9.00298E-05,0.0008074332,0.001336915,5.355646E-06,5.000251E-06,5.584996E-07,3.428515E-07,Neutral
7.0848408,0.03728647,0.03270197,0.004366982,0.04990159,0.06798758,1.256473E-05,8.650568E-08,3.966355E-07,0.199925,0.1536045,0.06765097,0.07492145,0.03150567,0.1132298,0.1164453,0.03740142,0.1367657,0.1323496,0.5712745,0.4352858,0.002841341,0.001911211,3.002297E-05,0.002098878,0.01944716,6.807597E-05,0.008623086,0.008123652,0.001695141,0.0001630576,0.0002207987,0.000438145,0.002190362,0.0001988302,0.0002528071,0.09800684,0.02605459,0.01513361,0.0006153185,0.04256569,0.0484822,0.01332619,0.001915075,0.0001622264,9.479922E-05,0.0008014399,0.001297728,5.227564E-06,4.997034E-06,5.434744E-07,3.407383E-07,Neutral
7.1076373,0.0384267,0.03388073,0.004198313,0.04860782,0.06555022,1.275482E-05,8.589308E-08,3.924908E-07,0.1995321,0.1524474,0.06664415,0.07394318,0.03074651,0.114823,0.1180669,0.03696589,0.1385516,0.1336456,0.5748097,0.4320709,0.002851943,0.001924112,3.038491E-05,0.002091755,0.01971968,6.815612E-05,0.008687123,0.00808298,0.001807575,0.0001606703,0.0002155335,0.0004320032,0.002130673,0.0002032211,0.0002534648,0.0997228,0.02756184,0.01423413,0.0006259535,0.04334503,0.04978125,0.01329443,0.001876963,0.0001681842,9.988354E-05,0.0007997638,0.00127776,5.171734E-06,4.991813E-06,5.285828E-07,3.403044E-07,Neutral
7.1269091,0.04445915,0.03596142,0.003543178,0.04474096,0.06251858,1.266836E-05,8.562466E-08,3.839384E-07,0.2013467,0.1530241,0.06654242,0.07406907,0.03005343,0.1161845,0.1195262,0.03681748,0.1387447,0.1335126,0.57716,0.4342131,0.002806728,0.001902761,3.028101E-05,0.001996992,0.01937496,7.084367E-05,0.008669791,0.007962616,0.001805927,0.0001688101,0.0002254744,0.0004252606,0.002075456,0.0002000657,0.0002442554,0.1009013,0.02798108,0.01406655,0.0006367505,0.04304661,0.04921087,0.01393272,0.001887649,0.0001698732,0.0001001486,0.0008318673,0.001278093,5.106273E-06,4.917667E-06,5.162973E-07,3.400397E-07,Neutral
7.1486414,0.04601113,0.03766212,0.003280709,0.04403409,0.06067937,1.302319E-05,8.476069E-08,3.952493E-07,0.2017235,0.1546505,0.06569553,0.07371185,0.03040982,0.1140806,0.1179354,0.0376891,0.1400988,0.1346531,0.58174,0.4347875,0.002820288,0.001873509,2.983937E-05,0.001970614,0.01969698,7.205487E-05,0.008965007,0.008664231,0.001801806,0.000166838,0.0002241153,0.0003986884,0.002015832,0.0001919248,0.0002398458,0.1111998,0.02862207,0.01315596,0.0006547797,0.04588659,0.05341395,0.01469787,0.001770502,0.0001772935,0.0001000947,0.0008485799,0.001260073,4.862498E-06,4.450092E-06,5.017893E-07,3.437407E-07,Neutral
7.1713992,0.04911008,0.04043378,0.0028965,0.04282583,0.05754431,1.32172E-05,8.339106E-08,3.986917E-07,0.2021496,0.1572188,0.06459851,0.07314235,0.03046914,0.1126687,0.1170112,0.03864827,0.1418353,0.135728,0.5862547,0.4338197,0.00282894,0.001819939,2.914841E-05,0.0019958,0.01998346,7.231099E-05,0.009190544,0.008798845,0.001800921,0.00017424,0.0002328819,0.0003775456,0.002018607,0.0001851089,0.000231324,0.1148759,0.02893732,0.01278302,0.000644699,0.04876953,0.05644142,0.01573638,0.001713509,0.000175701,9.675915E-05,0.0008692862,0.00123939,4.591199E-06,4.137375E-06,4.849416E-07,3.443733E-07,Neutral
7.193482,0.05048053,0.04162874,0.002804406,0.04233099,0.05614253,1.341872E-05,8.31855E-08,3.988294E-07,0.2025712,0.1598135,0.0644066,0.07345885,0.0312776,0.1091116,0.1146315,0.04006888,0.1420016,0.1351659,0.5893371,0.4323716,0.002828221,0.001773869,2.895067E-05,0.00199764,0.02021845,7.273431E-05,0.009331002,0.008918439,0.001824885,0.0001767254,0.0002344086,0.0003679467,0.001983321,0.0001838785,0.0002305072,0.1183214,0.02937734,0.01241869,0.0006531508,0.05032766,0.05794292,0.01620456,0.001686494,0.0001775763,9.657332E-05,0.0008795512,0.001215008,4.516529E-06,4.040901E-06,4.758305E-07,3.464099E-07,Neutral
